Date,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5,Asset_6,Asset_7,Asset_8,Asset_9,Asset_10,Asset_11,Asset_12,Asset_13,Asset_14,Asset_15,Asset_16,Asset_17,Asset_18,Asset_19,Asset_20,Asset_21,Asset_22,Asset_23,Asset_24,Asset_25,Asset_26,Asset_27,Asset_28,Asset_29,Asset_30,Asset_31,Asset_32,Asset_33
1999-12-31,23.33676302,24.86565296,58.48277851,25.59094815,16.83639545,2.694215137,50.40849289,18.4119233,7.898872036,25.56829482,15.5573736,6.307178882,286.392598,29.93896991,15.51211205,32.66572587,17.79961263,29.69634552,28.02567752,14.5004835,29.92412375,3.303129482,19.33120153,79.18721987,13.56973271,20.30683836,32.35218021,8.381631719,3.768872153,3.573972208,9.912606699,14.03739602,19.03822862
2000-01-31,28.96949967,25.18171631,56.14555262,23.73082714,15.87496669,3.555252964,39.92282636,18.15589483,7.270980777,26.30462108,13.96491698,5.796889328,293.1294324,31.27493052,14.97124343,33.85418324,19.85721273,27.40662193,30.09514116,13.16203631,25.91168066,3.333330258,18.39691675,82.4025719,13.56973271,16.89197411,27.30051595,8.197235821,4.034018938,3.572764031,9.882279668,15.42205222,21.93213052
2000-02-29,27.12649377,19.89656435,53.00028954,20.15660144,13.28391685,3.903001145,35.5477221,15.37119021,6.253796938,24.03996578,14.80946011,4.683000131,266.8868562,30.86020533,14.21711804,29.25512439,17.67652974,23.01198653,25.07202887,10.8732562,25.59842004,3.682566883,22.84750972,75.50481898,11.18384564,18.34246256,21.22305514,8.119307215,4.039786511,3.713891924,9.057204603,13.39832393,18.61423529
2000-03-31,32.91081965,24.85241068,54.83493216,23.73082714,14.65921547,4.978465166,41.24689715,14.89465974,7.35051367,24.89864999,15.94954424,6.137310311,308.8151681,33.79428916,16.38538457,29.1938036,20.11372322,22.45266741,25.66251791,12.23163789,30.18406488,4.363369468,22.52475679,86.98302115,12.16968092,18.62528667,24.64612596,8.479974484,4.130714182,3.736175276,10.37878115,13.1637955,20.14942995
2000-04-30,34.80967421,24.53706958,53.52933854,24.16252758,17.63254089,3.358603035,40.42925954,14.99302669,7.769107842,24.79969382,17.13616241,6.341394365,305.0684166,28.10792236,15.31052334,26.89906546,23.17809517,26.36790123,26.93851721,12.3372792,30.49826,3.985859776,22.9324447,81.93466975,12.79100568,19.45529053,21.18701991,9.446047526,4.526899033,3.814167006,11.72678923,14.71513009,22.06842328
2000-05-31,33.35760896,21.62533733,52.65894279,22.93726015,15.63901709,3.721905447,42.07183509,16.93815375,8.317466208,26.73475397,19.90128783,6.932942347,321.5627937,29.10954965,17.47899338,28.79184867,24.53133604,28.7083175,26.61155969,11.90559955,30.62238646,2.698792691,20.55426525,78.94909515,12.7412997,19.4054903,20.19692265,9.301953647,4.500642769,4.100229532,12.75576306,15.50432646,22.72947866
2000-06-30,30.9640948,20.77880843,44.46306258,20.91207721,14.41545176,4.242972209,42.11762341,18.28448945,9.234187446,25.19119177,18.34619599,6.297270746,311.5317305,26.92701547,13.55693931,29.87930135,26.46076696,32.68578271,28.4851334,10.59804815,30.83766829,3.365780027,21.21675809,80.60444381,10.78619779,17.9741047,17.2961128,10.41695894,4.538981577,4.203212041,13.20239342,13.98885085,21.83486125
2000-07-31,30.76463529,19.25275549,31.05439783,20.11851022,15.778311,4.166312067,40.37825253,19.51640056,8.66071343,25.73352444,17.92632119,6.055068025,364.5309046,29.3152177,14.93785545,26.59366258,23.91391814,29.85023493,33.25423012,10.75031394,30.15775522,3.264896586,18.56678671,82.58350509,11.44065987,14.70004217,19.54424448,10.53548313,4.959041569,4.489814684,14.96211704,14.41913619,23.89131945
2000-08-31,31.08377051,17.92256511,29.22356584,18.97577376,15.29370951,4.069653627,34.80934241,16.75653769,9.502087716,26.34115413,20.61274235,6.461729384,403.3427406,32.88766041,17.05858103,27.309626,23.83067104,29.59529163,36.65205422,11.60566775,34.20679413,3.91581968,20.48631726,97.23472474,12.16968092,15.42299506,18.63631417,10.13751095,4.529782053,4.220425803,16.70183282,15.90682484,29.21572371
2000-09-30,30.51730549,19.94873745,25.64403204,19.49665169,16.08204505,4.450732305,35.21392657,17.60598853,9.443484532,28.75135037,19.0708872,6.593009208,373.4322411,27.79394919,16.67652994,29.61719153,24.81394861,30.23251083,44.07266028,9.784490083,33.80810966,1.654616947,16.50298213,82.94633162,12.01227865,14.14949979,16.76447078,10.27638096,5.064809141,4.24775511,20.97880136,17.76527937,33.65255429
